
1,52
12,56
19,25
25,54
26,54
34,24
37,25
39,53
42,28
43,50
44,24
45,40
46,56
47,51
48,32
49,60
50,61
51,66
52,30
53,62
54,53
55,70
56,59
57,78
58,60
59,66
60,62
61,71
62,41
80,30
81,68
82,79
83,69
84,56
85,82
86,22
91,67
92,88
93,78
94,71
95,74
96,39
97,41
98,39
99,51
100,38
101,35
102,65
105,37
106,38
107,38
108,33
109,31
112,32
114,58
115,66
116,59
118,38
119,36
120,36
121,36
122,34
124,25
126,31
128,32
129,34
131,57
133,54
135,37
136,42
137,37
138,50
139,51
140,36
141,39
142,50
144,36
145,35
146,51
149,36
151,34
153,53
154,52
155,54
156,66
157,61
158,59
159,59
160,33
161,33
163,34
165,57
166,66
167,62
168,62
169,63
170,65
171,73
172,57
173,66
174,66
178,32
182,38
183,67
184,52
185,60
186,54
187,64
188,33
189,75
190,69
191,72
192,52
193,32
194,41
195,34
196,56
197,36
198,54
199,34
200,56
201,38
202,74
203,54
204,68
205,50
206,55
207,35
208,40
209,30
210,53
